Country,State,Year,Food Grains Allocated (UOM:MT(Metrictonne)),Ration Cards Issued (UOM:Number),Transaction For Ration Cards (UOM:Number),Aadhaar Authenticated Transactions (UOM:Number),Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)),Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(Metrictonne)),Manual Distribution Of Food Grains (UOM:MT(Metrictonne)),Distribution Of Food Grains (UOM:MT(Metrictonne))
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",383766,15173786,13587867,13587867,100,334397.06,0,334397.06
India,Haryana,"Calendar Year (Jan - Dec), 2020",66250,2707649,2558546,2558546,100,59108.07,0,59108.07
India,Karnataka,"Calendar Year (Jan - Dec), 2017",217403,10656272,21662367,14441578,66.67,1.96,0,1.96
India,West Bengal,"Calendar Year (Jan - Dec), 2019",330516.44,28670236,3128936,0,0,35650.24,290013.55,325663.8
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",10800.27,1551,966,0,0,23.54,10410.06,10433.6
India,Goa,"Calendar Year (Jan - Dec), 2017",2856.63,139184,4222,1920,45.48,92.49,0,92.49
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",202114.13,11186811,10717130,6971270,65.05,186049.67,0,186049.67
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",115338,5282952,5189384,496608,9.57,112644.03,1692.57,114336.6
India,Goa,"Calendar Year (Jan - Dec), 2018",2856.63,139929,4745,1271,26.79,103.44,2273.31,2376.75
India,Bihar,"Calendar Year (Jan - Dec), 2018",457821.73,17118718,0,0,0,0,434967.67,434967.67
India,West Bengal,"Calendar Year (Jan - Dec), 2018",330516.44,56275290,0,0,0,0,325699.8,325699.8
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",4677.46,138837,0,0,0,0,3627.35,3627.35
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2019",38927.63261,1637848.887,1395345.241,352401.3464,25.26,31550.65107,7998.748895,39549.39996
India,West Bengal,"Calendar Year (Jan - Dec), 2020",330516.44,56110738,21156713,87,0,325930.58,4709.43,330640.01
India,Kerala,"Calendar Year (Jan - Dec), 2020",85459.89,3745393,4061188,1442735,35.52,83945.48,101.14,84046.62
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",332.7,16743,54940,0,0,66.73,24.44,91.16
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",38927.63261,1610579.625,1395761.924,1058333.778,75.82,32768.53923,200.1643482,32968.6938
India,Odisha,"Calendar Year (Jan - Dec), 2020",179926.06,9274719,9275395,0,0,183707.43,0,183707.43
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",383766,15379049,13558510,13558510,100,334757.82,3835.92,338593.74
India,Goa,"Calendar Year (Jan - Dec), 2021",2856.63,142928,134418,129763,96.54,2799.47,0,2799.47
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",332.7,14607,1437,0,0,26.77,28.94,55.7
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",232631,11015719,9355403,9353378,99.98,224227.48,0,224227.48
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",16857.47,674816,615390,0,0,14917.53,306.7,15224.22
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",811798.34,35762251,33456637,32843509,98.17,775119.54,13540.57,788660.11
India,Tripura,"Calendar Year (Jan - Dec), 2018",13761.1,578548,550697,545232,99.01,12749.86,855.24,13605.1
India,Karnataka,"Calendar Year (Jan - Dec), 2019",217403,12448492,10712033,10712020,100,192743.55,5618.94,198362.49
India,Delhi,"Calendar Year (Jan - Dec), 2018",37572.75,1941651,0,0,0,0,32809.43,32809.43
India,Ladakh,"Calendar Year (Jan - Dec), 2019",870.4173886,36664.89216,444.0658439,1.64031414,0.37,7.222193803,779.1730556,786.3952494
India,Kerala,"Calendar Year (Jan - Dec), 2017",85459.89,318079,0,0,0,0,8048.79,8048.79
India,Gujarat,"Calendar Year (Jan - Dec), 2020",198288.02,6923836,6546028,5540705,84.64,171212.25,0,171212.25
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",202114.13,10121507,10334090,0,0,201616.45,0,201616.45
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1357366,673082,124732,18.53,16216.5,15501.7,31718.2
India,Odisha,"Calendar Year (Jan - Dec), 2020",179926.06,9261751,9445151,0,0,180719.56,3.78,180723.35
India,Goa,"Calendar Year (Jan - Dec), 2021",2856.63,142933,136921,131977,96.39,2844.82,0,2844.82
India,Mizoram,"Calendar Year (Jan - Dec), 2017",3827.96,35053,0,0,0,0,1050.6,1050.6
India,Karnataka,"Calendar Year (Jan - Dec), 2018",217403,11699037,9348149,9165302,98.04,220830.86,29529.44,250360.3
India,Goa,"Calendar Year (Jan - Dec), 2020",2856.63,142479,138345,133280,96.34,2860.57,0,2860.57
India,Delhi,"Calendar Year (Jan - Dec), 2020",37572.75,1748001,0,0,0,0,36342.72,36342.72
India,Mizoram,"Calendar Year (Jan - Dec), 2021",3827.96,162045,153930,116962,75.98,3750.08,0,3750.08
India,Karnataka,"Calendar Year (Jan - Dec), 2018",217403,12374079,2518628,2518628,100,45214.59,8341.12,53555.72
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",16857.47,679433,644251,20627,3.2,4536.44,518.86,5055.29
India,Karnataka,"Calendar Year (Jan - Dec), 2020",217403,12687639,9271465,9271465,100,172244.89,923.59,173168.48
India,Karnataka,"Calendar Year (Jan - Dec), 2021",217403,12203454,10790115,10790115,100,204464.8,322.24,204787.04
India,Assam,"Calendar Year (Jan - Dec), 2020",135479.33,5804993,0,0,0,0,139687.47,139687.47
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",232631,9874178,16384247,16381127,99.98,195705.98,0,195705.98
India,Mizoram,"Calendar Year (Jan - Dec), 2018",3827.96,145720,0,0,0,0,4011.2,4011.2
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",126.85,5175,2397,0,0,78.41,0,78.41
India,West Bengal,"Calendar Year (Jan - Dec), 2020",330516.44,56206840,20405610,6007,0.03,321452.07,645.72,322097.79
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",202114.13,9987680,10175222,0,0,193046.07,0,193046.07
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2019",38927.63261,1639762.108,19859.93416,73.35968586,0.37,322.9978062,34846.91694,35169.91475
India,Haryana,"Calendar Year (Jan - Dec), 2019",66250,2664480,2716572,2716572,100,55878.69,0,55878.69
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",4677.46,131309,62209,4250,6.83,1638.73,2460.48,4099.21
India,Manipur,"Calendar Year (Jan - Dec), 2020",12461.24,586221,433471,229,0.05,9948.98,3536.02,13485
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",16857.47,718856,212581,200815,94.47,4860.89,0,4860.89
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1334570,493867,106930,21.65,11934.04,20806.37,32740.41
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",144959.47,5702576,4700485,3895808,82.88,131048.88,0,131048.88
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",202114.13,9997067,9999650,0,0,190090.55,0,190090.55
