Country,State,Year,Food Grains Allocated (UOM:MT(Metrictonne)),Ration Cards Issued (UOM:Number),Transaction For Ration Cards (UOM:Number),Aadhaar Authenticated Transactions (UOM:Number),Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)),Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(Metrictonne)),Manual Distribution Of Food Grains (UOM:MT(Metrictonne)),Distribution Of Food Grains (UOM:MT(Metrictonne))
India,Nagaland,"Calendar Year (Jan - Dec), 2019",7632.11,284934,0,0,0,0,7628.74,7628.74
India,Manipur,"Calendar Year (Jan - Dec), 2018",12461.24,548980,0,0,0,0,12461.24,12461.24
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",144959.47,5704001,4645034,3983306,85.75,136411.8,0,136411.8
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",202114.13,9526569,22577571,0,0,198803.2,0,198803.2
India,Mizoram,"Calendar Year (Jan - Dec), 2020",3827.96,155405,148628,292,0.2,3819.75,0,3819.75
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",115338,5117707,4507268,429816,9.54,112773.3,1468.43,114241.73
India,Haryana,"Calendar Year (Jan - Dec), 2017",66250,2075709,3281079,2187386,66.67,26.51,0,26.51
India,Odisha,"Calendar Year (Jan - Dec), 2020",179926.06,9274719,9339835,1594495,17.07,185656.9,51.44,185708.34
India,Haryana,"Calendar Year (Jan - Dec), 2019",66250,2660657,2640152,2640152,100,54357.45,0,54357.45
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",38927.63261,1613195.142,480653.6399,450666.1566,93.76,11870.80027,19182.97097,31053.77125
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",154148.03,9521046,8804104,8804104,100,142741.86,2755.92,145497.79
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",297039.11,11777859,8896240,1670600,18.78,225490.24,67859.47,293349.72
India,Punjab,"Calendar Year (Jan - Dec), 2020",72510,3519595,56987,56987,100,6896.89,0,6896.89
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",33454.8,1010055,0,0,0,0,19960.6,19960.6
India,Haryana,"Calendar Year (Jan - Dec), 2021",66250,2838641,2413079,2413079,100,59608.34,0,59608.34
India,Telangana,"Calendar Year (Jan - Dec), 2020",108004.23,5326381,4920699,4920699,100,99224.11,879.4,100103.51
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",202114.13,11184800,6083041,5883457,96.72,108863.54,0,108863.54
India,Mizoram,"Calendar Year (Jan - Dec), 2021",3827.96,157360,154583,577,0.37,3916.34,0,3916.34
India,Odisha,"Calendar Year (Jan - Dec), 2020",179926.06,9323917,18401752,13661600,74.24,363612.49,395.81,364008.31
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",33454.8,1327984,234445,88737,37.85,5882.17,25026.61,30908.78
India,Punjab,"Calendar Year (Jan - Dec), 2018",72510,503714,46413,46413,100,5582.02,45666.08,51248.11
India,Kerala,"Calendar Year (Jan - Dec), 2021",85459.89,3903340,4307772,4059962,94.25,84202.96,103.01,84305.97
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",10800.27,1067,649,0,0,15.93,11557.25,11573.18
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",10800.27,1123,532,0,0,12.83,11513.94,11526.77
India,Assam,"Calendar Year (Jan - Dec), 2018",135479.33,30906,14358,0,0,313.64,135273.59,135587.23
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",4677.46,138837,0,0,0,0,3627.22,3627.22
India,Telangana,"Calendar Year (Jan - Dec), 2020",108004.23,5349267,4850764,4850764,100,102057.93,802.38,102860.3
India,Tripura,"Calendar Year (Jan - Dec), 2018",13761.1,815580,236168,236168,100,4868.57,15384.87,20253.43
India,Kerala,"Calendar Year (Jan - Dec), 2017",85459.89,318079,0,0,0,0,7687.13,7687.13
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",126.85,5155,400,0,0,10.16,0,10.16
India,Ladakh,"Calendar Year (Jan - Dec), 2019",870.4173886,36672.45948,589.6601269,5.577068075,0.95,10.81098243,655.87939,666.6903725
India,Delhi,"Calendar Year (Jan - Dec), 2018",37572.75,1902510,0,0,0,0,59715.71,59715.71
India,Delhi,"Calendar Year (Jan - Dec), 2018",37572.75,1941861,1531758,1531758,100,31064.93,42.33,31107.27
India,Nagaland,"Calendar Year (Jan - Dec), 2018",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",144959.47,5803441,7190359,786847,10.94,138482.97,0,138482.97
India,Assam,"Calendar Year (Jan - Dec), 2018",135479.33,5780383,0,0,0,0,138907.35,138907.35
India,Odisha,"Calendar Year (Jan - Dec), 2019",179926.06,8685358,11884202,6297700,52.99,148610.8,32810.37,181421.17
India,Karnataka,"Calendar Year (Jan - Dec), 2020",217403,12723982,10816262,10816234,100,200193.04,1060.5,201253.55
India,Kerala,"Calendar Year (Jan - Dec), 2017",85459.89,318792,0,0,0,0,7950.66,7950.66
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",10800.27,1305,400,0,0,10.08,11696.38,11706.46
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",202114.13,11199879,10871486,5975701,54.97,195738.98,0,195738.98
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",297039.11,11590126,11120459,10634666,95.63,252011.37,0.03,252011.4
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",126.85,5160,2124,0,0,56.52,0,56.52
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",232631,10808107,9553184,9552911,100,223522.17,297.7,223819.87
India,Sikkim,"Calendar Year (Jan - Dec), 2018",2197.94,149406,1807,1807,100,51.02,2709.14,2760.16
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",202114.13,11127398,12283803,0,0,219470.8,0,219470.8
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",811798.34,33466510,3597293,2903074,80.7,86212.54,0,86212.54
India,Mizoram,"Calendar Year (Jan - Dec), 2020",3827.96,155493,139270,247,0.18,3600.64,0,3600.64
India,Goa,"Calendar Year (Jan - Dec), 2017",2856.63,138359,208,102,49.04,0.12,0,0.12
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",202114.13,11158145,10750117,1881666,17.5,187367.7,0,187367.7
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",16857.47,681926,601880,272734,45.31,13875.77,1532.1,15407.87
India,Gujarat,"Calendar Year (Jan - Dec), 2020",198288.02,6555744,6088108,5716440,93.9,156654.94,0,156654.94
India,Punjab,"Calendar Year (Jan - Dec), 2018",72510,3526357,3148070,3148070,100,380495.99,0,380495.99
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",126.85,5154,3328,0,0,88.35,0,88.35
India,Tripura,"Calendar Year (Jan - Dec), 2019",13761.1,578728,733714,727379,99.14,12779.7,753.78,13533.48
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",202114.13,11200104,10656785,5398536,50.66,192481.84,0,192481.84
India,Mizoram,"Calendar Year (Jan - Dec), 2020",3827.96,155486,141682,448,0.32,3650.2,0,3650.2
India,Goa,"Calendar Year (Jan - Dec), 2020",2856.63,142494,132794,128828,97.01,2761.1,98.38,2859.48
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",115338,5116918,4473621,453349,10.13,112884.09,1470.31,114354.4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",154148.03,9027632,8636555,8636555,100,148118.13,1087.8,149205.93
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",33454.8,1334146,368114,82159,22.32,8988.98,27105.3,36094.28
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",115338,5334093,6134455,883468,14.4,109.55,0,109.55
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",4677.46,173246,0,0,0,0,4357.03,4357.03
India,Telangana,"Calendar Year (Jan - Dec), 2021",108004.23,5357863,4397905,4397905,100,93352.63,0,93352.63
India,Haryana,"Calendar Year (Jan - Dec), 2018",66250,2645165,2362415,2362415,100,50105.94,0,50105.94
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",115338,5147210,4693402,104235,2.22,112198.15,1516.51,113714.67
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,5757288,0,0,0,0,134619.65,134619.65
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",297039.11,11728107,9606421,5043299,52.5,245191.6,44310.35,289501.95
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",154148.03,8891202,8316670,8316670,100,136634.94,0,136634.94
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",1380.93,55691,46295,43025,92.48817857,1155.66,0,1155.66
India,Manipur,"Calendar Year (Jan - Dec), 2018",12461.24,496481,0,0,0,0,11796.56,11796.56
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,5785972,0,0,0,0,153202.5,153202.5
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",154148.03,8811969,8031156,8031156,100,136249.75,0,136249.75
India,Tripura,"Calendar Year (Jan - Dec), 2020",13761.1,578411,739572,732326,99.02,13221.1,0,13221.1
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021",38927.63261,1552860.224,1351300.085,1013284.084,74.99,31503.95518,78.22098771,31582.17617
India,Gujarat,"Calendar Year (Jan - Dec), 2021",198288.02,7178473,6731096,6066406,90.13,174020.07,0,174020.07
India,Assam,"Calendar Year (Jan - Dec), 2020",135479.33,5182342,0,0,0,0,124434.09,124434.09
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",232631,10062466,7874872,7872761,99.97,187530.48,639.99,188170.47
India,West Bengal,"Calendar Year (Jan - Dec), 2019",330516.44,56360939,0,0,0,0,328946.31,328946.31
India,Telangana,"Calendar Year (Jan - Dec), 2021",108004.23,5358003,4646073,4646073,100,99075.7,0,99075.7
India,Karnataka,"Calendar Year (Jan - Dec), 2018",217403,12090687,10186853,10186833,100,194961,10662.45,205623.45
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,5787081,0,0,0,0,139496.01,139496.01
India,Kerala,"Calendar Year (Jan - Dec), 2018",85459.89,3460886,0,0,0,0,75517.12,75517.12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",33454.8,1329200,247900,98410,39.7,6178.68,24353.27,30531.94
India,Gujarat,"Calendar Year (Jan - Dec), 2021",198288.02,7127073,6414859,5901449,92,168353.55,0,168353.55
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",332.7,16207,11751,0,0,218.27,25.62,243.9
India,Ladakh,"Calendar Year (Jan - Dec), 2019",870.4173886,36583.20452,30515.42007,6111.985451,20.03,689.8894447,91.78891733,781.6785807
India,Delhi,"Calendar Year (Jan - Dec), 2017",37572.75,1944813,15028,15028,100,160.73,0,160.73
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",4677.46,176998,106943,4728,4.42,2913.68,1319.25,4232.93
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",154148.03,9520353,8824101,8824101,100,141380.28,2711.17,144091.45
India,Sikkim,"Calendar Year (Jan - Dec), 2020",2197.94,94087,62758,35220,56.12,763.7,789.67,1553.36
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2018",332.7,8912,723,0,0,1244.98,0,1244.98
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",16857.47,683242,0,0,0,0,0,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",16857.47,682014,222895,199823,89.65,5201.33,2836.54,8037.87
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",115338,5287913,5174390,592939,11.46,112144.52,1700.32,113844.83
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",10800.27,1051,1320,0,0,27.85,11512.58,11540.43
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",126.85,5153,2350,0,0,40.14,0,40.14
India,Bihar,"Calendar Year (Jan - Dec), 2020",457821.73,16831101,14715170,14652454,99.57,397654.02,13685.55,411339.57
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",4677.46,181418,21665,5364,24.76,564.82,3028.08,3592.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",383766,15312771,14688716,0,0,353920,2198.05,356118.04
India,Haryana,"Calendar Year (Jan - Dec), 2019",66250,2801606,2575809,2575809,100,56998,0,56998
India,Haryana,"Calendar Year (Jan - Dec), 2019",66250,2695216,2670418,2670418,100,56785.78,0,56785.78
India,Nagaland,"Calendar Year (Jan - Dec), 2020",7632.11,283074,242277,84227,34.76,6276.53,7196.48,13473.01
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",154148.03,9547193,8360828,8360828,100,142699.09,0,142699.09
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",16857.47,679985,464198,2379,0.51,12992.57,3373.98,16366.55
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",126.85,5160,1445,0,0,36.66,0,36.66
India,Punjab,"Calendar Year (Jan - Dec), 2017",72510,99007,15856,15856,100,1898.22,0,1898.22
India,Nagaland,"Calendar Year (Jan - Dec), 2018",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2018",332.7,24674,1826,0,0,26.53,197.71,224.24
India,Assam,"Calendar Year (Jan - Dec), 2020",135479.33,5786939,0,0,0,0,139306.77,139306.77
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",232631,10400582,8570508,8568530,99.98,203443.77,676.3,204120.07
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",126.85,5160,1006,0,0,27.04,0,27.04
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",297039.11,11747674,9774742,6305510,64.51,247889.14,21665.38,269554.52
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",144959.47,5675129,4433676,3577345,80.69,122905.71,0,122905.71
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",1380.93,57193,48875,33278,65.15813998,769.33,0,769.33
India,Odisha,"Calendar Year (Jan - Dec), 2021",179926.06,9246860,8712179,7673301,88.08,178475.23,19.75,178494.97
India,Karnataka,"Calendar Year (Jan - Dec), 2018",217403,12116010,9938233,9869369,99.31,239795.7,14679.68,254475.38
India,Assam,"Calendar Year (Jan - Dec), 2020",135479.33,5679453,0,0,0,0,136706.42,136706.42
India,West Bengal,"Calendar Year (Jan - Dec), 2021",330516.44,56226927,19948831,123,0,322659.91,97.02,322756.93
India,Kerala,"Calendar Year (Jan - Dec), 2019",85459.89,3662695,3644377,3576559,98.14,80995.75,103.58,81099.33
India,Kerala,"Calendar Year (Jan - Dec), 2017",85459.89,318757,0,0,0,0,7864.73,7864.73
India,Mizoram,"Calendar Year (Jan - Dec), 2021",3827.96,159764,127178,113210,89.02,3209.8,0,3209.8
India,Sikkim,"Calendar Year (Jan - Dec), 2021",2197.94,91863,162,162,100,3.49,2156.35,2159.83
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",811798.34,35582981,32095510,31201850,97.22,743275.88,278.94,743554.81
India,Gujarat,"Calendar Year (Jan - Dec), 2019",198288.02,6641615,6158322,5583700,90.67,158706.73,0,158706.73
India,Delhi,"Calendar Year (Jan - Dec), 2021",37572.75,1777234,0,0,0,0,370236.06,370236.06
India,Bihar,"Calendar Year (Jan - Dec), 2020",457821.73,16831101,14248231,14207319,99.71,396300.03,0,396300.03
India,Odisha,"Calendar Year (Jan - Dec), 2019",179926.06,8690874,7621220,4197324,55.07,154717.9,13331.95,168049.84
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",115338,5117707,4898600,66694,1.36,113794.07,1409.61,115203.68
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",383766,14838989,11485929,11485929,100,285492.25,58845.05,344337.3
India,Tripura,"Calendar Year (Jan - Dec), 2020",13761.1,578738,761004,752034,98.82,13272.16,0,13272.16
India,Manipur,"Calendar Year (Jan - Dec), 2020",12461.24,588027,351052,395,0.11,8054.23,7540.92,15595.15
India,Karnataka,"Calendar Year (Jan - Dec), 2019",217403,12435130,10074845,10074833,100,183043.88,7893.37,190937.26
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2019",38927.63261,1636108.795,1364739.58,273346.0145,20.03,30853.89056,4105.071083,34958.97142
India,Manipur,"Calendar Year (Jan - Dec), 2019",12461.24,569688,0,0,0,0,13163.24,13163.24
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",332.7,16184,11541,0,0,211.39,25.71,237.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",144959.47,5638776,5030220,4227628,84.04,123929.85,0,123929.85
India,Goa,"Calendar Year (Jan - Dec), 2020",2856.63,142494,193928,188607,97.26,2875.84,9.55,2885.39
India,Odisha,"Calendar Year (Jan - Dec), 2019",179926.06,8687094,8095091,4548800,56.19,160867.94,4996.34,165864.28
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",1380.93,56206,52701,43392,83.11009016,1178.17,0,1178.17
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",126.85,5148,120,0,0,1.65,0,1.65
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",33454.8,1383601,924367,129569,14.02,21666.33,9280.5,30946.83
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",383766,15045772,13280707,13280707,100,328866.87,3837.92,332704.78
India,Assam,"Calendar Year (Jan - Dec), 2021",135479.33,5735028,0,0,0,0,129224.79,129224.79
India,Kerala,"Calendar Year (Jan - Dec), 2021",85459.89,3900049,4238516,4064397,95.89,82880.77,98.07,82978.83
India,Nagaland,"Calendar Year (Jan - Dec), 2018",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Punjab,"Calendar Year (Jan - Dec), 2020",72510,3375938,2002698,2002697,100,238133.7,6808.38,244942.07
India,Kerala,"Calendar Year (Jan - Dec), 2017",85459.89,318079,0,0,0,0,7750.03,7750.03
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",383766,15577732,13274953,13274953,100,342123.95,0,342123.95
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1359876,704616,118398,16.8,17040.4,16060.06,33100.46
India,Tripura,"Calendar Year (Jan - Dec), 2019",13761.1,578761,574841,568173,98.84,12844.35,669.26,13513.61
India,Manipur,"Calendar Year (Jan - Dec), 2020",12461.24,601364,435559,786,0.18,9986.02,4650.68,14636.7
India,Kerala,"Calendar Year (Jan - Dec), 2018",85459.89,3528217,4900438,4632505,94.53,81490.03,304.71,81794.74
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021",38927.63261,1582623.716,513443.4632,473294.1962,92.18,11982.60043,0,11982.60043
India,Haryana,"Calendar Year (Jan - Dec), 2020",66250,2696647,2741507,2741507,100,55968.66,0,55968.66
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2017",332.7,8903,1240,0,0,1153.47,0,1153.47
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",232631,10450632,8880205,8877598,99.97,211389.76,721.65,212111.4
India,Nagaland,"Calendar Year (Jan - Dec), 2021",7632.11,298629,104480,32917,31.51,2150.69,0,2150.69
India,Delhi,"Calendar Year (Jan - Dec), 2019",37572.75,1594840,0,0,0,0,32423.06,32423.06
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",115338,5117639,4516744,232629,5.15,112688.41,1468.98,114157.38
India,Punjab,"Calendar Year (Jan - Dec), 2020",72510,3657791,3290969,3290956,100,196659.68,0,196659.68
India,Ladakh,"Calendar Year (Jan - Dec), 2018",870.4173886,36489.05049,20814.1867,3212.500565,15.43,489.9504607,322.2633333,812.2137939
India,Punjab,"Calendar Year (Jan - Dec), 2018",72510,729641,0,0,0,0,44913.5,44913.5
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",811798.34,33615242,5386386,4202603,78.02,129674.63,444000.99,573675.63
India,Goa,"Calendar Year (Jan - Dec), 2019",2856.63,142035,114883,112542,97.96,2451.04,359.81,2810.85
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",16857.47,687117,669519,486303,72.63,14933.5,71.49,15005
India,Nagaland,"Calendar Year (Jan - Dec), 2018",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Tripura,"Calendar Year (Jan - Dec), 2020",13761.1,578813,656784,656784,100,13112.74,0,13112.74
India,Delhi,"Calendar Year (Jan - Dec), 2017",37572.75,1944884,15658,15658,100,169.39,0,169.39
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",1380.93,56502,51859,45989,89.55298191,1193.88,12.76,1206.64
India,Gujarat,"Calendar Year (Jan - Dec), 2020",198288.02,6876881,6583811,1848913,28.08,172265.41,0,172265.41
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",811798.34,35705561,31474908,28726045,91.27,707805.18,5503.21,713308.4
India,Nagaland,"Calendar Year (Jan - Dec), 2019",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",16857.47,699770,672118,582754,86.7,15150.11,44.1,15194.2
India,Gujarat,"Calendar Year (Jan - Dec), 2017",198288.02,7194140,6419024,454,0.01,167088.54,0,167088.54
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",33454.8,1336229,0,0,0,0,37332.96,37332.96
India,Goa,"Calendar Year (Jan - Dec), 2018",2856.63,140902,12594,12594,100,268.58,2305.18,2573.76
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",144959.47,5710390,4309301,4107581,95.32,125094.14,0,125094.14
India,Gujarat,"Calendar Year (Jan - Dec), 2018",198288.02,6821657,7679657,6043318,78.69,170234.95,0,170234.95
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",115338,5291193,4436663,441333,9.95,26882.09,1816.4,28698.5
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",4677.46,179913,0,0,0,0,4676,4676
India,Bihar,"Calendar Year (Jan - Dec), 2021",457821.73,17847686,15806784,15772589,99.78,423786.84,0,423786.84
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2018",38927.63261,1101557.305,21458.19718,1329.277508,6.19,505.5069233,0,505.5069233
India,Haryana,"Calendar Year (Jan - Dec), 2021",66250,2705269,2740926,2740926,100,59290.91,0,59290.91
India,Karnataka,"Calendar Year (Jan - Dec), 2020",217403,12206425,10949528,10949528,100,204161.09,8302.82,212463.9
India,Sikkim,"Calendar Year (Jan - Dec), 2019",2197.94,95347,28301,28301,100,724.17,1710.57,2434.74
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",383766,15103537,13870494,13870494,100,340656.98,0,340656.98
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",144959.47,5634985,3846814,3431193,89.2,11988.14,0,11988.14
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",202114.13,9949700,21215887,0,0,182095,0,182095
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",38927.63261,1608753.458,1406810.871,1061732.777,75.47,32959.92976,1295.942867,34255.87263
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",154148.03,8911732,8279662,8279662,100,136087.98,0,136087.98
India,Nagaland,"Calendar Year (Jan - Dec), 2020",7632.11,283674,253670,91119,35.92,6459,0.23,6459.23
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",115338,5322496,5269148,1070880,20.32,113279.2,2619.63,115898.83
India,Assam,"Calendar Year (Jan - Dec), 2017",135479.33,179499,2,0,0,0,4283.58,4283.58
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",1380.93,55466,52131,41236,75.71449996,1248.37,0,1248.37
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",232631,10351537,8664624,8662223,99.97,205850.22,768.63,206618.85
India,Nagaland,"Calendar Year (Jan - Dec), 2018",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Goa,"Calendar Year (Jan - Dec), 2019",2856.63,343136,73816,73518,99.6,2286.89,515.51,2802.4
India,Ladakh,"Calendar Year (Jan - Dec), 2021",870.4173886,35448.93823,31100.35609,27589.31835,88.71,697.9457929,0,697.9457929
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",115338,5313156,5252660,459461,8.75,110332.45,0,110332.45
India,Delhi,"Calendar Year (Jan - Dec), 2020",37572.75,1527020,0,0,0,0,29567.37,29567.37
India,Odisha,"Calendar Year (Jan - Dec), 2018",179926.06,8693250,8058956,4459580,55.34,165901.95,10375,176276.95
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1334146,426932,89803,21.03,10406.79,23326.41,33733.2
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",126.85,0,0,0,0,0,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2021",13761.1,594150,647300,641160,99.05,13440.8,0,13440.8
India,Mizoram,"Calendar Year (Jan - Dec), 2018",3827.96,145512,0,0,0,0,4016.25,4016.25
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",1380.93,56670,52495,46545,89.48136516,1195.65,0,1195.65
India,Sikkim,"Calendar Year (Jan - Dec), 2020",2197.94,90649,0,0,0,0,2134.96,2134.96
India,Manipur,"Calendar Year (Jan - Dec), 2018",12461.24,548980,0,0,0,0,12461.24,12461.24
India,Kerala,"Calendar Year (Jan - Dec), 2018",85459.89,3527545,3639008,3505550,96.33,80351.46,106.16,80457.62
India,Telangana,"Calendar Year (Jan - Dec), 2018",108004.23,5048399,4292155,4292155,100,91449.9,887.64,92337.54
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",383766,15526814,13959507,13959507,100,341692.27,395.63,342087.9
India,Tripura,"Calendar Year (Jan - Dec), 2020",13761.1,578855,615693,615544,99.98,12568.41,0,12568.41
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",10800.27,421503,0,0,0,0,11474.07,11474.07
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",1380.93,55114,53089,41302,74.69527828,1264.79,0,1264.79
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",297039.11,11744822,10332191,4798350,46.44,261712.91,26575.94,288288.84
India,West Bengal,"Calendar Year (Jan - Dec), 2020",330516.44,55413750,19161263,149180,0.78,290160.01,39666.91,329826.92
India,Odisha,"Calendar Year (Jan - Dec), 2018",179926.06,8657079,9510533,5736016,60.31,173823.43,5390.3,179213.73
India,West Bengal,"Calendar Year (Jan - Dec), 2020",330516.44,56135276,20264292,14140,0.07,327916.99,0,327916.99
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",4677.46,177404,11590,0,0,301.18,4309.56,4610.74
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",126.85,5160,2183,0,0,58.03,0,58.03
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",332.7,16344,14657,0,0,252.44,24.59,277.02
India,Sikkim,"Calendar Year (Jan - Dec), 2021",2197.94,91700,0,0,0,0,2153.46,2153.46
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",232631,9937047,7983993,7982629,99.98,189822.62,0,189822.62
India,Haryana,"Calendar Year (Jan - Dec), 2021",66250,2704846,2691519,2691519,100,58619.8,0,58619.8
India,Manipur,"Calendar Year (Jan - Dec), 2020",12461.24,593727,437006,247,0.06,10222.8,2852.49,13075.29
India,West Bengal,"Calendar Year (Jan - Dec), 2021",330516.44,55850222,18359427,2576015,14.03,321330.64,130.4,321461.04
India,Karnataka,"Calendar Year (Jan - Dec), 2017",217403,11293767,8535061,7478425,87.62,208212.63,0,208212.63
